listing_date,sender,action,stock,buy_price_1,buy_price_2,stop_loss,target_1,target_2,target_3,time_frame,cutoff_date,is_expired,days_expired,raw_message
2025-06-29,Aaryan Shah,BUY,HAL,4980.0,5005.0,4774.0,5235.0,5465.0,,5-10 Days,2025-07-09,False,0,"JMFS Technical Short Term:  BUY HAL @ 4980,5005 SL 4774 TGT 5235,5465 Time Frame: 5-10 Days; Refer Research disclaimers on https://bit.ly/30xYwCE"
2025-06-29,Aaryan Shah,BUY,INDUSTOWER,404.0,,378.0,432.0,440.0,,30 Days,2025-07-29,False,0,"JMFS Technical Cash Pick: BUY INDUSTOWER @ 404 SL 378 TGT 432,440 Time Frame: 30 Days Refer disclaimer at https://bit.ly/3SRp64P"
2025-06-29,Aaryan Shah,BUY,CANBK,106.0,107.0,100.75,113.0,119.0,,5-10 Days,2025-07-09,False,0,"JMFS Technical Short Term:  BUY CANBK @ 106,107 SL 100.75 TGT 113,119 Time Frame: 5-10 Days; Refer Research disclaimers on https://bit.ly/30xYwCE"
2025-06-29,Aaryan Shah,BUY,BDL,1944.0,,1875.0,2100.0,,,,,False,0,JMFS Technical Short Term: BUY BDL @ 1944.00 SL 1875 TGT 2100
2025-06-29,Aaryan Shah,BUY,RAINBOW,1472.0,,1390.0,1560.0,1600.0,,30 Days,2025-07-29,False,0,"JMFS Technical Cash Pick: BUY RAINBOW @ 1472 SL 1390 TGT 1560,1600 Time Frame: 30 Days Refer disclaimer at https://bit.ly/3SRp64P"
2025-06-29,Aaryan Shah,BUY,MARUTI,12690.0,12750.0,12349.0,13150.0,13555.0,,5-10 Days,2025-07-09,False,0,"JMFS Technical Short Term:  BUY MARUTI @ 12690,12750 SL 12349 TGT 13150,13555 Time Frame: 5-10 Days; Refer Research disclaimers on https://bit.ly/30xYwCE"
2025-06-29,Aaryan Shah,BUY,MAHABANK,54.92,,52.3,57.8,59.0,,5-10 Days,2025-07-09,False,0,"JMFS Technical Short Term: BUY MAHABANK @ 54.92 SL 52.3 TGT 57.8,59 Time Frame: 5-10 Days Refer disclaimer at https://bit.ly/3SRp64P"
2025-06-29,Aaryan Shah,BUY,HAVELLS,1582.0,,1498.0,1670.0,1700.0,,5-10 Days,2025-07-09,False,0,"JMFS Technical Short Term: BUY HAVELLS @ 1582 SL 1498 TGT 1670,1700 Time Frame: 5-10 Days Refer disclaimer at https://bit.ly/3SRp64P"
2025-06-29,Aaryan Shah,BUY,ICICIBANK,1422.0,1430.0,1384.75,1475.0,1520.0,,5-10 Days,2025-07-09,False,0,"JMFS Technical Short Term:  BUY ICICIBANK @ 1422,1430 SL 1384.75 TGT 1475,1520 Time Frame: 5-10 Days; Refer Research disclaimers on https://bit.ly/30xYwCE"
2025-06-06,Aaryan Shah,BUY,INDIACEM,336.0,338.0,319.0,357.0,375.0,,5-10 Days,2025-06-16,True,13,"JMFS Technical Short Term:  BUY INDIACEM @ 336,338 SL 319 TGT 357,375 Time Frame: 5-10 Days; Refer Research disclaimers on https://bit.ly/30xYwCE"
2025-06-06,Aaryan Shah,BUY,TATAMOTORS,706.0,710.0,679.0,740.0,770.0,,5-10 Days,2025-06-16,True,13,"JMFS Technical Short Term:  BUY TATAMOTORS @ 706,710 SL 679 TGT 740,770 Time Frame: 5-10 Days; Refer Research disclaimers on https://bit.ly/30xYwCE"
2025-06-06,Aaryan Shah,BUY,AXISBANK,1179.0,1185.0,1134.0,1235.0,1285.0,,5-10 Days,2025-06-16,True,13,"JMFS Technical Short Term:  BUY AXISBANK @ 1179,1185 SL 1134 TGT 1235,1285 Time Frame: 5-10 Days; Refer Research disclaimers on https://bit.ly/30xYwCE"
2025-06-06,Aaryan Shah,BUY,ICICIGI,1910.0,,1800.0,2037.0,2131.0,,30 Days,2025-07-06,False,0,"JMFS Technical Cash Pick: BUY ICICIGI @ 1910 SL 1800 TGT 2037,2131 Time Frame: 30 Days Refer disclaimer at https://bit.ly/3SRp64P"
2025-06-06,Aaryan Shah,BUY,MSUMI,60.34,,56.5,64.4,67.0,,5-10 Days,2025-06-16,True,13,"JMFS Technical Short Term: BUY MSUMI @ 60.34 SL 56.5 TGT 64.4,67 Time Frame: 5-10 Days Refer disclaimer at https://bit.ly/3SRp64P"
2025-06-09,Aaryan Shah,BUY,HEROMOTOCO,4280.0,4300.0,4074.0,4525.0,4750.0,,5-10 Days,2025-06-19,True,10,"JMFS Technical Short Term:  BUY HEROMOTOCO @ 4280,4300 SL 4074 TGT 4525,4750 Time Frame: 5-10 Days; Refer Research disclaimers on https://bit.ly/30xYwCE"
2025-06-09,Aaryan Shah,BUY,BHEL,253.0,254.5,239.0,270.0,285.0,,5-10 Days,2025-06-19,True,10,"JMFS Technical Short Term:  BUY BHEL @ 253,254.50 SL 239 TGT 270,285 Time Frame: 5-10 Days; Refer Research disclaimers on https://bit.ly/30xYwCE"
2025-06-09,Aaryan Shah,BUY,TATATECH,765.0,772.0,709.0,835.0,900.0,,5-30 Days,2025-07-09,False,0,"JMFS Technical Cash Pick: BUY TATATECH @ 765,772 SL 709 TGT 835,900 Time Frame : 5-30 Days; Refer Research disclaimers on https://bit.ly/30xYwCE"
2025-06-09,Aaryan Shah,BUY,GRINFRA,1341.0,,1247.0,1480.0,1511.0,,30 Days,2025-07-09,False,0,"JMFS Technical Cash Pick: BUY GRINFRA @ 1341 SL 1247 TGT 1480,1511 Time Frame: 30 Days Refer disclaimer at https://bit.ly/3SRp64P"
2025-06-09,Aaryan Shah,BUY,CERA,6781.0,,6430.0,7180.0,7250.0,,5-10 Days,2025-06-19,True,10,"JMFS Technical Short Term: BUY CERA @ 6781 SL 6430 TGT 7180,7250 Time Frame: 5-10 Days Refer disclaimer at https://bit.ly/3SRp64P"
2025-06-09,Aaryan Shah,BUY,INDIAMART,2456.0,,2328.0,2600.0,2700.0,,5-10 Days,2025-06-19,True,10,"JMFS Technical Short Term: BUY INDIAMART @ 2456 SL 2328 TGT 2600,2700 Time Frame: 5-10 Days Refer disclaimer at https://bit.ly/3SRp64P"
2025-06-10,Aaryan Shah,BUY,AARTIIND,491.7,,463.0,525.0,540.0,,30 Days,2025-07-10,False,0,"JMFS Technical Cash Pick: BUY AARTIIND @ 491.7 SL 463 TGT 525,540 Time Frame: 30 Days Refer disclaimer at https://bit.ly/3SRp64P"
2025-06-10,Aaryan Shah,BUY,LXCHEM,203.0,205.0,187.75,222.0,240.0,,5-30 Days,2025-07-10,False,0,"JMFS Technical Cash Pick: BUY LXCHEM @ 203,205 SL 187.75 TGT 222,240 Time Frame : 5-30 Days; Refer Research disclaimers on https://bit.ly/30xYwCE"
2025-06-11,Aaryan Shah,BUY,RITES,298.0,299.5,269.0,330.0,360.0,,5-30 Days,2025-07-11,False,0,"JMFS Technical Cash Pick: BUY RITES @ 298,299.50 SL 269 TGT 330,360 Time Frame : 5-30 Days; Refer Research disclaimers on https://bit.ly/30xYwCE"
2025-06-11,Aaryan Shah,BUY,BIOCON,350.0,,334.0,367.0,375.0,,5-10 Days,2025-06-21,True,8,"JMFS Technical Short Term: BUY BIOCON @ 350 SL 334 TGT 367,375 Time Frame: 5-10 Days Refer disclaimer at https://bit.ly/3SRp64P"
2025-06-11,Aaryan Shah,BUY,TCS,3460.0,3473.0,3339.0,3610.0,3745.0,,5-10 Days,2025-06-21,True,8,"JMFS Technical Short Term:  BUY TCSS @ 3460,3473 SL 3339 TGT 3610,3745 Time Frame: 5-10 Days; Refer Research disclaimers on https://bit.ly/30xYwCE"
2025-06-11,Aaryan Shah,BUY,JBCHEPHARM,1729.0,,1645.0,1820.0,1870.0,,30 Days,2025-07-11,False,0,"JMFS Technical Cash Pick: BUY JBCHEPHARM @ 1729 SL 1645 TGT 1820,1870 Time Frame: 30 Days Refer disclaimer at https://bit.ly/3SRp64P"
